City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Faanui,PF,2022-05-23 18:23:34,-16.4833,-151.75,81.16,72,9,15.26
146,Washington,US,2022-05-23 18:19:54,47.5001,-120.5015,63.9,39,57,6.02
147,Kahului,US,2022-05-23 18:23:35,20.8947,-156.47,80.62,66,20,12.66
148,Bo Rai,TH,2022-05-23 18:23:35,12.5728,102.5371,85.73,97,99,1.97
149,Kavieng,PG,2022-05-23 18:23:36,-2.5744,150.7967,81.82,74,98,13.67
150,Mayor Pablo Lagerenza,PY,2022-05-23 18:23:37,-19.9309,-60.7718,86.18,40,52,7.92
151,Geraldton,AU,2022-05-23 18:23:37,-28.7667,114.6,64.81,77,75,24.16
152,Lodwar,KE,2022-05-23 18:23:37,3.1191,35.5973,91.13,34,8,7.11
153,Souillac,MU,2022-05-23 18:23:38,-20.5167,57.5167,75.58,73,75,14.97
154,Namibe,AO,2022-05-23 18:23:39,-15.1961,12.1522,65.03,94,0,13.8
155,Impfondo,CG,2022-05-23 18:23:39,1.6381,18.0667,72.52,98,100,2.62
156,Kelowna,CA,2022-05-23 18:23:17,49.8831,-119.4857,64.45,41,100,16.11
157,Thompson,CA,2022-05-23 18:21:01,55.7435,-97.8558,46.56,87,100,11.5
158,Bratunac,BA,2022-05-23 18:23:40,44.1875,19.3394,65.08,90,93,1.61
159,Fuerte Olimpo,PY,2022-05-23 18:23:41,-21.0415,-57.8738,88.56,26,55,7.29
160,Alice,US,2022-05-23 18:23:41,27.7523,-98.0697,87.24,56,40,13.8
161,Hithadhoo,MV,2022-05-23 18:23:42,-0.6,73.0833,84.04,74,16,11.79
162,Gazli,UZ,2022-05-23 18:23:42,40.1333,63.45,74.16,21,0,9.75
163,Piacabucu,BR,2022-05-23 18:23:43,-10.4056,-36.4344,81.54,64,8,13.04
164,Kupang,ID,2022-05-23 18:23:44,-10.1667,123.5833,76.71,82,1,8.05
165,Garden City,US,2022-05-23 18:21:07,42.3256,-83.331,61.88,52,100,11.5
166,Saskylakh,RU,2022-05-23 18:23:45,71.9167,114.0833,27.27,95,99,11.68
167,Provideniya,RU,2022-05-23 18:23:45,64.3833,-173.3,49.26,47,98,2.93
168,Jamestown,US,2022-05-23 18:23:46,42.097,-79.2353,62.53,52,0,8.05
169,Clyde River,CA,2022-05-23 18:23:47,70.4692,-68.5914,17.83,73,0,24.16
170,Talnakh,RU,2022-05-23 18:23:47,69.4865,88.3972,33.21,92,100,2.75
171,Fort Nelson,CA,2022-05-23 18:23:48,58.8053,-122.7002,51.39,62,75,3.44
172,Nkayi,CG,2022-05-23 18:23:48,-4.1841,13.2884,75.79,76,97,1.36
173,Te Anau,NZ,2022-05-23 18:23:49,-45.4167,167.7167,48.9,84,98,4.94
174,Bonavista,CA,2022-05-23 18:23:49,48.6499,-53.1147,52.74,87,46,18.28
175,Klyuchi,RU,2022-05-23 18:23:50,52.2667,79.1667,59.54,33,0,4.14
176,Lata,PT,2022-05-23 18:23:50,40.1629,-8.3327,65.07,57,94,11.81
177,Khatanga,RU,2022-05-23 18:23:51,71.9667,102.5,25.61,86,34,11.05
178,La Palma,US,2022-05-23 18:23:52,33.8464,-118.0467,72.41,80,100,5.75
179,Qasigiannguit,GL,2022-05-23 18:23:52,68.8193,-51.1922,37.65,94,68,6.87
180,Dingle,PH,2022-05-23 18:23:53,10.9995,122.6711,76.39,88,73,1.34
181,Klungkung,ID,2022-05-23 18:23:53,-8.5333,115.4,77.68,85,51,3.15
182,Qiongshan,CN,2022-05-23 18:23:54,20.0058,110.3542,80.58,94,75,4.47
183,Virginia Beach,US,2022-05-23 18:23:54,36.8529,-75.978,74.05,64,100,13.8
184,Vila Velha,BR,2022-05-23 18:23:55,-20.3297,-40.2925,78.75,73,75,5.75
185,Buala,SB,2022-05-23 18:24:56,-8.145,159.5921,80.56,79,68,4.72
186,Katsuura,JP,2022-05-23 18:24:56,35.1333,140.3,61.36,81,89,4.92
187,Lagoa,PT,2022-05-23 18:24:58,39.05,-27.9833,61.27,83,100,14.9
188,Kapaa,US,2022-05-23 18:24:22,22.0752,-159.319,77.11,78,40,11.5
189,Yar-Sale,RU,2022-05-23 18:24:59,66.8333,70.8333,38.41,91,100,6.85
190,Garh Maharaja,PK,2022-05-23 18:24:59,30.8339,71.9053,75.47,49,0,10.98
191,Nuuk,GL,2022-05-23 18:23:54,64.1835,-51.7216,30.81,93,75,21.85
192,Colares,PT,2022-05-23 18:25:00,38.7992,-9.4469,67.75,57,20,20.0
193,Saint-Pierre,RE,2022-05-23 18:25:00,-21.3393,55.4781,73.08,83,100,8.05
194,Saint George,US,2022-05-23 18:20:32,37.1041,-113.5841,75.63,18,0,5.01
195,Kiruna,SE,2022-05-23 18:25:01,67.8557,20.2251,54.52,54,100,9.22
196,Suluq,LY,2022-05-23 18:25:01,31.6682,20.2521,76.75,17,0,7.18
197,Uvalde,US,2022-05-23 18:25:02,29.3669,-99.767,81.41,31,75,12.66
198,Maceio,BR,2022-05-23 18:24:10,-9.6658,-35.7353,83.64,61,75,12.66
199,Plastun,RU,2022-05-23 18:25:02,44.7561,136.2939,44.33,96,41,1.21
200,Cabo San Lucas,MX,2022-05-23 18:21:12,22.8909,-109.9124,88.9,53,0,11.5
201,Carnarvon,AU,2022-05-23 18:25:03,-24.8667,113.6333,71.15,62,36,10.87
202,Vagur,FO,2022-05-23 18:25:05,61.4732,-6.8119,48.42,82,66,6.67
203,San Patricio,US,2022-05-23 18:25:06,28.017,-97.5169,88.52,48,93,15.37
204,Pacific Grove,US,2022-05-23 18:23:00,36.6177,-121.9166,72.55,74,0,11.99
205,Lixourion,GR,2022-05-23 18:25:07,38.2019,20.4314,69.8,94,40,0.0
206,Pevek,RU,2022-05-23 18:25:08,69.7008,170.3133,36.59,82,76,11.41
207,Maldonado,UY,2022-05-23 18:25:08,-34.6667,-54.9167,67.39,57,94,5.75
208,Aklavik,CA,2022-05-23 18:25:09,68.2191,-135.0107,30.02,63,99,1.72
209,Mayo,US,2022-05-23 18:25:09,38.8876,-76.5119,76.21,54,100,6.91
210,Tasiilaq,GL,2022-05-23 18:25:09,65.6145,-37.6368,35.76,99,100,12.64
211,Wanning,CN,2022-05-23 18:25:10,18.8003,110.3967,79.36,91,99,4.68
212,Mudgee,AU,2022-05-23 18:25:11,-32.5943,149.5871,51.62,95,20,5.17
213,Abu Kamal,SY,2022-05-23 18:25:11,34.4506,40.9171,79.99,28,0,18.54
214,Perigueux,FR,2022-05-23 18:25:12,45.1833,0.7167,65.77,67,74,11.59
215,Kenai,US,2022-05-23 18:25:13,60.5544,-151.2583,55.02,80,40,12.66
216,Scarborough,GB,2022-05-23 18:20:59,54.2797,-0.4044,59.79,72,100,4.0
217,Archidona,ES,2022-05-23 18:20:30,37.0965,-4.3887,81.41,36,11,10.11
218,Aiken,US,2022-05-23 18:25:14,33.5835,-81.5998,79.09,83,100,4.61
219,Lebanon,US,2022-05-23 18:21:47,36.2081,-86.2911,66.31,83,100,12.28
220,Cabedelo,BR,2022-05-23 18:25:15,-6.9811,-34.8339,75.87,86,99,15.19
221,Isangel,VU,2022-05-23 18:25:15,-19.55,169.2667,76.55,84,56,9.01
222,Leningradskiy,RU,2022-05-23 18:25:16,69.3833,178.4167,35.44,87,46,4.23
223,Pisco,PE,2022-05-23 18:25:16,-13.7,-76.2167,67.01,72,59,10.36
224,Mount Gambier,AU,2022-05-23 18:25:17,-37.8333,140.7667,48.45,88,4,5.91
225,Tiznit,MA,2022-05-23 18:25:18,29.5833,-9.5,75.06,53,77,7.23
226,Puerto Maldonado,PE,2022-05-23 18:25:18,-12.6,-69.1833,81.0,74,75,5.75
227,Lingao,CN,2022-05-23 18:25:18,19.9103,109.6859,78.19,93,93,12.91
228,Lebu,CL,2022-05-23 18:25:19,-37.6167,-73.65,51.8,64,100,2.17
229,Alofi,NU,2022-05-23 18:26:19,-19.0595,-169.9187,69.69,94,40,3.44
230,Kavaratti,IN,2022-05-23 18:25:18,10.5669,72.642,83.48,82,100,15.03
231,Taltal,CL,2022-05-23 18:26:20,-25.4,-70.4833,65.34,67,7,4.07
232,Vestmannaeyjar,IS,2022-05-23 18:26:21,63.4427,-20.2734,47.39,87,100,9.22
233,Praia Da Vitoria,PT,2022-05-23 18:26:21,38.7333,-27.0667,65.75,82,75,9.53
234,Longyearbyen,SJ,2022-05-23 18:26:22,78.2186,15.6401,35.44,93,100,2.3
235,Soe,ID,2022-05-23 18:26:22,-9.8607,124.284,64.99,92,14,4.56
236,Yinchuan,CN,2022-05-23 18:24:17,38.4681,106.2731,72.41,28,0,4.27
237,Bathsheba,BB,2022-05-23 18:26:23,13.2167,-59.5167,86.61,66,40,18.41
238,Saint-Vallier,FR,2022-05-23 18:26:24,46.6411,4.3711,65.97,73,50,8.75
239,Margate,GB,2022-05-23 18:26:24,51.3813,1.3862,58.3,87,100,1.99
240,Salym,RU,2022-05-23 18:26:25,60.0625,71.4789,48.06,90,100,5.82
241,Exaplatanos,GR,2022-05-23 18:26:26,40.9772,22.125,70.21,92,96,3.11
242,Dunedin,NZ,2022-05-23 18:26:26,-45.8742,170.5036,48.79,65,17,1.01
243,Henties Bay,NA,2022-05-23 18:26:26,-22.116,14.2845,62.02,67,56,4.25
244,Corinth,GR,2022-05-23 18:26:27,37.9407,22.9573,75.42,61,9,2.82
245,Chingirlau,KZ,2022-05-23 18:26:28,51.095,54.0814,52.43,89,33,7.63
246,Moron,AR,2022-05-23 18:26:28,-34.6534,-58.6198,71.49,69,87,4.92
247,Pringsewu,ID,2022-05-23 18:26:29,-5.3582,104.9744,74.01,98,88,0.54
248,Manta,EC,2022-05-23 18:25:42,-0.95,-80.7333,82.18,78,40,12.66
249,Port Moresby,PG,2022-05-23 18:26:30,-9.4431,147.1797,74.62,100,20,3.44
250,Islamkot,PK,2022-05-23 18:26:30,24.6997,70.177,81.81,81,0,21.77
251,Sarh,TD,2022-05-23 18:26:31,9.1429,18.3923,82.31,74,0,4.61
252,Srednekolymsk,RU,2022-05-23 18:26:32,67.45,153.6833,50.14,77,100,14.2
253,Ventspils,LV,2022-05-23 18:26:32,57.3894,21.5606,51.73,71,0,3.44
254,Kaitangata,NZ,2022-05-23 18:26:33,-46.2817,169.8464,51.8,73,42,15.28
255,Eenhana,NA,2022-05-23 18:26:34,-17.4667,16.3333,60.75,24,0,3.8
256,Alekseyevka,RU,2022-05-23 18:26:34,50.6309,38.6903,49.17,67,78,4.68
257,Chiredzi,ZW,2022-05-23 18:26:35,-21.05,31.6667,60.69,58,0,3.29
258,Torbay,CA,2022-05-23 18:26:28,47.6666,-52.7314,70.57,44,75,29.93
259,College,US,2022-05-23 18:26:35,64.8569,-147.8028,53.55,41,20,13.8
260,Bethel,US,2022-05-23 18:26:36,41.3712,-73.414,75.18,49,0,8.05
261,Koumac,NC,2022-05-23 18:26:36,-20.5667,164.2833,72.37,80,100,6.73
262,Rapid Valley,US,2022-05-23 18:24:13,44.0625,-103.1463,57.63,65,100,18.41
263,Narsaq,GL,2022-05-23 18:26:37,60.9167,-46.05,43.02,77,91,3.36
264,Ringkobing,DK,2022-05-23 18:26:37,56.0901,8.244,65.01,70,99,19.04
265,Natal,BR,2022-05-23 18:22:34,-5.795,-35.2094,79.45,83,100,12.66
266,Fairbanks,US,2022-05-23 18:22:06,64.8378,-147.7164,53.56,41,20,13.8
267,Beloha,MG,2022-05-23 18:26:38,-25.1667,45.05,68.18,65,1,5.5
268,Okha,RU,2022-05-23 18:26:38,53.5739,142.9478,33.51,96,100,10.4
269,Sabha,LY,2022-05-23 18:26:39,27.0377,14.4283,88.02,8,55,11.56
270,Magdagachi,RU,2022-05-23 18:26:39,53.45,125.8,38.59,93,28,5.66
271,Sungaipenuh,ID,2022-05-23 18:26:40,-2.0833,101.3833,67.15,94,83,1.99
272,Saint Anthony,US,2022-05-23 18:26:41,45.0205,-93.218,65.95,33,20,9.22
273,Taoudenni,ML,2022-05-23 18:26:41,22.6783,-3.9836,103.93,7,0,13.47
274,Ilek,RU,2022-05-23 18:26:42,51.5271,53.3831,50.43,95,86,1.52
275,Naifaru,MV,2022-05-23 18:26:42,5.4444,73.3657,83.26,77,92,16.31
276,Catemaco,MX,2022-05-23 18:26:42,18.4167,-95.1167,90.37,47,31,6.31
277,Rabaul,PG,2022-05-23 18:26:43,-4.1967,152.1721,78.75,73,27,3.85
278,Vasai,IN,2022-05-23 18:27:44,19.47,72.8,86.09,64,94,12.73
279,Makakilo City,US,2022-05-23 18:27:44,21.3469,-158.0858,79.12,63,0,9.22
280,Fare,PF,2022-05-23 18:27:45,-16.7,-151.0167,80.71,73,1,15.1
281,Arman,RU,2022-05-23 18:27:45,59.7,150.1667,34.02,98,100,1.28
282,Sandpoint,US,2022-05-23 18:27:29,48.2766,-116.5533,64.85,46,40,10.36
283,Luganville,VU,2022-05-23 18:27:46,-15.5333,167.1667,77.59,87,50,3.65
284,Sukhumi,GE,2022-05-23 18:27:47,43.0033,41.0153,55.36,93,71,4.05
285,Itoman,JP,2022-05-23 18:27:48,26.1247,127.6694,73.42,96,75,16.11
286,Jalu,LY,2022-05-23 18:27:48,29.0331,21.5482,82.47,9,0,7.96
287,Lucapa,AO,2022-05-23 18:27:48,-8.4192,20.7447,73.56,42,91,4.14
288,Comodoro Rivadavia,AR,2022-05-23 18:26:34,-45.8667,-67.5,49.86,37,20,20.71
289,Porto Belo,BR,2022-05-23 18:27:49,-27.1578,-48.5531,76.78,71,95,6.78
290,Gigmoto,PH,2022-05-23 18:27:50,13.7796,124.39,80.64,86,70,7.96
291,Yerbogachen,RU,2022-05-23 18:27:50,61.2767,108.0108,52.14,70,98,5.97
292,Jatiroto,ID,2022-05-23 18:27:51,-7.8833,111.1167,73.38,89,99,3.67
293,Dalvik,IS,2022-05-23 18:27:55,65.9702,-18.5286,42.73,86,99,4.29
294,Gobabis,NA,2022-05-23 18:27:56,-22.45,18.9667,58.19,28,76,9.19
295,Denton,US,2022-05-23 18:27:04,33.2001,-97.1336,75.74,85,99,1.01
296,Shingu,JP,2022-05-23 18:27:57,33.7333,135.9833,61.92,75,100,5.08
