City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Ostersund,SE,63.1792,14.6357,47.61,93,75,8.05,broken clouds
113,Mandera,KE,3.9366,41.867,78.71,67,93,11.05,overcast clouds
114,Vallenar,CL,-28.5708,-70.7581,62.94,52,1,0.13,clear sky
115,Dhidhdhoo,MV,6.8833,73.1,82.53,76,92,10.04,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,57.81,94,100,2.64,light rain
117,Butaritari,KI,3.0707,172.7902,81.54,75,100,17.25,overcast clouds
118,Mindelo,CV,16.8901,-24.9804,72.95,68,40,12.66,scattered clouds
119,Port Alfred,ZA,-33.5906,26.891,59.18,94,94,4.0,overcast clouds
120,Bandarbeyla,SO,9.4942,50.8122,78.82,88,89,21.0,overcast clouds
121,Ankazoabo,MG,-22.2833,44.5167,61.86,96,9,4.79,clear sky
122,Erenhot,CN,43.6475,111.9767,69.35,16,66,14.52,broken clouds
123,Forbes,AU,-33.3833,148.0167,60.24,72,97,6.26,overcast clouds
124,Burns Lake,CA,54.2331,-125.7533,45.82,48,100,7.72,overcast clouds
125,Chokurdakh,RU,70.6333,147.9167,31.96,70,73,10.27,broken clouds
126,Port Macquarie,AU,-31.4333,152.9167,68.9,77,75,6.91,broken clouds
127,Barrow,US,71.2906,-156.7887,33.82,86,20,16.11,few clouds
128,Gat,IL,31.61,34.7642,74.39,100,0,4.97,clear sky
129,Albano Laziale,IT,41.726,12.6313,69.89,61,0,6.91,clear sky
130,Yerbogachen,RU,61.2767,108.0108,49.28,56,100,14.07,overcast clouds
131,Xinzhou,CN,38.4092,112.7333,67.57,36,29,2.06,scattered clouds
132,Tautira,PF,-17.7333,-149.15,79.57,70,30,10.16,scattered clouds
133,Ostrovnoy,RU,68.0531,39.5131,34.5,97,100,7.18,overcast clouds
134,Hithadhoo,MV,-0.6,73.0833,83.03,67,29,5.39,scattered clouds
135,Tazovskiy,RU,67.4667,78.7,36.09,65,10,7.72,clear sky
136,Komsomolets,KZ,53.7453,62.0708,52.79,79,100,8.25,overcast clouds
137,Fomboni,KM,-12.28,43.7425,80.76,72,0,11.18,clear sky
138,Dillon,US,34.4166,-79.3712,75.18,66,100,10.56,overcast clouds
