City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Alice Town,BS,79.83,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
604,Belle Glade,US,81.05,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
605,Puerto Ayacucho,VE,76.1,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
607,Carmen,MX,77.04,overcast clouds,18.6333,-91.8333,Hotel Lossandes
610,Carlagan,PH,86.4,overcast clouds,14.975,122.0456,Cabatagan Island
613,Kaiyuan,CN,75.63,scattered clouds,23.6977,103.3037,Dongqi Hotel
615,Yenangyaung,MM,84.67,clear sky,20.4667,94.8833,Hotel Country
620,Itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
621,Acarau,BR,76.37,clear sky,-2.8856,-40.12,castelo pizzaria
623,Moindou,NC,79.59,few clouds,-21.6924,165.67700000000002,Equi-lodge de Moindou
625,Banda Aceh,ID,84.24,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
627,Male,MV,82.35,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
628,Lianzhou,CN,78.3,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
636,Malakal,SS,78.06,overcast clouds,9.5334,31.6605,Nile Palace Hotel
637,Show Low,US,75.49,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
644,Rincon,US,79.86,broken clouds,32.296,-81.2354,Days Inn Rincon
645,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
646,Limpapa,PH,78.13,moderate rain,7.1197,121.9106,The Ranch ZC
648,Kanchanaburi,TH,78.71,overcast clouds,14.6333,99.1,แพบุญศรี
653,Calabozo,VE,80.58,overcast clouds,8.9242,-67.4293,Hotel Giardini
654,Kavaratti,IN,83.53,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
657,Mecca,SA,84.24,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
660,Yanam,IN,88.7,clear sky,16.7333,82.2167,The Regency Hotel
662,Ciudad Ojeda,VE,80.13,overcast clouds,10.1964,-71.3082,Hotel América
664,Meulaboh,ID,81.77,overcast clouds,4.1363,96.1285,Kost Pria
666,Miri,MY,84.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
670,Tripoli,LY,75.4,broken clouds,32.8752,13.1875,Al Waddan Hotel
671,Lorengau,PG,85.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
672,Mackay,AU,79.68,scattered clouds,-21.15,149.2,International Lodge Motel
673,Zabid,YE,81.18,few clouds,14.1951,43.3152,مغرب التريبه
674,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Hotel Stardust
676,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
679,Tabas,IR,77.9,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
680,Ternate,ID,83.93,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
681,Kampli,IN,81.41,overcast clouds,15.4,76.6167,Government Hostel Kampli
686,Auki,SB,82.69,scattered clouds,-8.7676,160.7034,Auki Motel
687,Paciran,ID,81.21,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
